stage_name,formation_year,country,main_music_genre
The Cure,1979,Portugal,Jazz
Pink Floyd,2014,Russia,Electronic
Pearl Jam,2020,Canada,Country
The Smiths,1984,Czech Republic,R&B
Black Sabbath,1995,Bosnia and Herzegovina,Rock
Queen,1995,Chile,R&B
Aerosmith,2012,Morocco,Rock
Green Day,1972,Indonesia,Rock
The Doors,1979,China,Electronic
Fleetwood Mac,2008,Indonesia,Electronic
Iron Maiden,2023,Indonesia,Classical
Radiohead,1992,Russia,Pop
Evanescence,1975,Brazil,Country
Imagine Dragons,2002,Democratic Republic of the Congo,Classical
Metallica,1975,Indonesia,Hip Hop
The Clash,1977,China,Electronic
The Beach Boys,1994,Argentina,Rock
The Rolling Stones,1999,Dominican Republic,Jazz
My Chemical Romance,2024,Czech Republic,Jazz
One Republic,2023,Ireland,R&B
Led Zeppelin,1996,China,R&B
Guns N' Roses,1972,Thailand,Country
The Eagles,1983,Uzbekistan,Country
The Who,1994,Indonesia,Hip Hop
U2,1971,Canada,Classical
