id_code,name,maximum_capacity,location_description
5693,Mystic Dream,2982,VIP Lounge
4346,Shadow Dancer,6790,VIP Lounge
8733,Galactic Groove,5744,Dance Stage
2155,Raging Thunder,4905,VIP Lounge
7152,Time Fade,2456,VIP Lounge
5464,Flaring Sky,5581,Main Stage
7659,Neon Blaze,2935,Main Stage
5970,Celestial Symphony,9781,Main Stage
2782,Sonic Storm,2469,Main Stage
9377,Solar Flare,4274,Main Stage
7061,Electric Sky,2227,VIP Lounge
6482,Atomic Avalanche,7754,Main Stage
5160,Electric Eclipse,8364,Dance Stage
9082,Twilight Tempest,1376,Dance Stage
4914,Midnight Fury,6835,Second Stage
7153,Raging Thunder,4464,Second Stage
1303,Sunset Eclipse,8433,Second Stage
1232,Firefly Fusion,2310,Acoustic Stage
1187,Mystic Mirage,4478,Main Stage
1569,The Rockstar,7622,Dance Stage
1621,Midnight Fury,4582,Main Stage
2630,Inferno Inferno,9816,Main Stage
4306,Moon Magic,6282,Second Stage
2425,Dream Mirage,5536,VIP Lounge
2087,Thunder Fury,4925,Main Stage
