sponsor,name
Jabbersphere,Melody Mansion
Aivee,R&B Garden
Mydeo,Metal Meadow
Oyoba,Electric Oasis
Realpoint,Rock Ridge
Kamba,Rhythm Retreat
Jabbercube,Indie Island
Fiveclub,Sunset Serenade
Realbridge,Rhythm Retreat
Livepath,Neon Grove
Vipe,Groove Garden
Skyvu,Hip Hop Tent
Skyndu,Music Boulevard
Yotz,Beat Boulevard
Tagchat,Moonlit Meadow
Feednation,Vibe Village
Browsedrive,Music Mansion
Cogidoo,Relax Oasis
Twiyo,Beat Alley
Quamba,Funk Forest
Kwinu,Acoustic Alley
Eabox,Folk Valley
Realblab,Starlight Stage
Feedfire,Folk Field
Oyoyo,Jam Junction
