ticket_id,price,validity_period,ticket_category
742167,347,5,VIP
158575,355,9,DayPass
416670,652,9,VIP
775935,610,9,Regular
321550,634,11,VIP
398215,235,5,DayPass
455232,568,6,Regular
177481,619,14,DayPass
536230,182,13,DayPass
304075,371,8,Regular
750814,716,5,DayPass
387290,581,11,VIP
756631,701,13,VIP
307083,285,7,VIP
357930,347,6,DayPass
373123,401,4,VIP
731432,282,9,Regular
359531,471,13,VIP
515719,521,3,Regular
176620,313,14,DayPass
458974,709,2,VIP
118098,526,9,Regular
691781,366,9,VIP
458231,644,2,DayPass
431123,717,8,DayPass
